Reporter Identifier	VALUE	S_N_P/4a-1_OKhymenets_220905
102483	24742.7	80.32
102484	127627.49	59.13
102488	2191.02	13.41
102491	25869.08	88.14
102492	15709.51	61.69
102498	190.24	1.31
102503	25133.03	23.54
102506	1013	0.9
102514	580964.81	90.64
102516	319.35	-1.33
102518	1672552	84.93
102521	437.35	1.66
102523	1137.24	0.54
102525	450912.05	75.34
102539	291.36	-0.36
102551	33335.27	84.37
102557	910.44	3.88
102558	8189.06	26.64
102559	3447.24	11.66
102560	655.35	-1.15
102563	9822.13	31.12
102564	10830.68	37.98
102565	9953.75	24.59
102571	3820.28	26.23
102572	595	3.52
102581	4304.08	9.99
102592	5608.1	11.92
102596	25915.77	75.56
102597	1018.9	5.01
102598	32895.12	75.81
102603	397.21	-2.13
102604	113440.91	88.45
102610	4627.21	12.43
102617	194957.02	94.81
102622	1145	3.95
102623	1073.19	4.37
102625	231.63	0.33
102627	4408.19	23.69
102632	22887.73	56.11
102647	3455.76	16.05
102652	3621.96	15.13
102654	1562.45	6.33
102661	2556.23	24.9
102664	2800.34	14.14
102667	690.23	0.73
102670	377.52	0.43
102684	318.65	-0.91
102688	34769.26	61.89
102693	508.58	-0.52
102700	199.93	-2.82
102706	121864.45	104.06
102709	5158.49	14.35
102711	8609.12	15.12
102718	14349.85	31.22
102721	14332.64	20.18
102723	11420.24	45.57
102727	8364.03	18.59
102730	250.92	0.34
102731	3325.94	14.32
102732	257708.84	72.52
102734	1637.41	9.14
102739	477.22	2.82
102753	4128.95	19.74
102754	1581.76	3.94
102756	178.66	-0.91
102759	275.32	0.78
102762	1271.16	4.74
102769	312.24	-1.99
102776	363.46	-0.53
102778	4684.4	11.14
102783	6647.63	14.63
102786	1891.96	6.31
102788	15604.35	38.46
102789	1798.96	6.56
102792	298.14	1.01
102794	1002.09	3.02
102795	525.62	0.06
102817	633.65	1.27
102818	491.42	3.15
102820	187.03	-2.97
102823	906.53	1.88
102824	225.68	1
102826	3156.91	9.72
102828	20793.79	68.02
102833	1697.55	6.19
102834	286.02	0.86
102835	666.86	-0.81
102836	1109.66	-0.55
102841	74344.8	81.18
102842	2464.52	6.63
102845	10303.61	52.88
102846	2384.32	6.3
102848	2472.77	9.2
102850	4239.88	1.49
102862	890.49	3.5
102875	56339.96	81.39
102878	462.29	2.73
102881	838.87	3.63
102888	1855.78	2.2
102896	627.62	3.86
102899	810.76	1.12
102901	897.05	3.61
102904	5315.59	19.83
102907	20615.63	33.03
102910	24408.76	55.25
102914	590.94	2.01
102915	15553.51	46.98
102916	591.99	2.44
102924	10246.39	35.85
102926	1427.97	2.32
102937	355452.41	94.47
102939	467.32	1.56
102944	2906.1	11.59
102945	1281.52	3.08
102952	282.19	-0.3
102959	406.59	-1.23
102967	14502.03	51.87
102968	1633.73	2.28
102971	671.48	2.57
102972	1299.3	2.49
102973	301.98	1.01
10298121	188.15	-0.16
102988	2415.66	5.57
102997	874.35	1.53
102999	301.8	-0.4
103002	1123.33	5.81
103003	1008.47	4.65
103010	4581.46	10.54
103013	4773.97	18.69
103021	10204.55	57.18
103022	246.9	-2.75
103029	470.06	1.75
103030	261.62	-0.57
103034	10322.72	31.7
103043	1085	3.94
103054	215.43	0.9
103058	462.9	-0.3
103069	2449.69	20.4
103070	258.44	-0.31
103073	304.16	1.37
103079	2137.93	9.22
103080	833.57	1.59
103082	376.82	0.25
103085	159420.4	109.04
103095	301838.86	86.8
103097	1419969.44	76.61
103100	2491.14	7.71
103102	1970.8	7.38
103103	966.38	4.1
103105	243.54	1.37
103107	932.21	4.11
103109	3105.38	6.79
103111	157.5	-0.01
103113	3627.77	12.39
103115	168.13	0.93
103117	1344.71	2.72
103150	41273.49	71.9
103152	319.68	-0.08
103153	155181.33	80.59
103159	278.52	0.01
103164	717.8	2.36
103169	13189.53	22.04
103171	309.18	-0.63
103183	16569.84	51.22
103185	15534.82	28.94
103193	11564.21	51.52
103201	32855.18	72.57
103206	15656.75	50.65
103211	1472.29	5.74
103212	278.23	1.09
10321330	1630.29	6.16
103214	5157.08	9.9
10322069	152.11	0.25
103225	98215.89	56.15
103227	669.05	-0.35
103232	5230.69	19.17
103235	167.21	0.46
103239	5498.94	8.98
103241	1258.14	0.86
