Probe_ID	Gene_ID	Signal_P/2a-3_OKhymenets_220905	SDEV_P/2a-3_OKhymenets_220905	CV_P/2a-3_OKhymenets_220905	S_N_P/2a-3_OKhymenets_220905	Flags_P/2a-3_OKhymenets_220905	Assay_Normalized_Signal_P/2a-3_OKhymenets_220905	Row_P/2a-3_OKhymenets_220905	Column_P/2a-3_OKhymenets_220905	X_P/2a-3_OKhymenets_220905	Y_P/2a-3_OKhymenets_220905	CL_Sig_P/2a-3_OKhymenets_220905	CL_Sig_Error_P/2a-3_OKhymenets_220905	CL_Raw_P/2a-3_OKhymenets_220905	CL_Raw_SDEV_P/2a-3_OKhymenets_220905	Image_Area_P/2a-3_OKhymenets_220905
145937	hCG1641814.2	904.8	239.35	0.27	3.78	0	0.57	97	106	1315.25	1416.15	499.87	238.05	10715.01	0	1
145940	hCG1981394	431.28	431.28	2.17	-0.46	1	0.27	18	10	291.29	580.19	-297.06	205.33	8454.56	0	1
145947	hCG40135.2	42435.13	541.97	0.04	78.3	0	26.57	25	124	1504.53	649.66	45296.36	280.3	55753.44	0	1
145949	hCG26653.3	5012.06	777.31	0.16	6.45	0	3.45	159	9	285.97	806.08	3469.2	175.4	13160.26	0	2
145956	hCG1729956.2	713	492.49	0.69	1.45	0	0.45	53	33	536.63	952.24	678.51	291.82	13326.58	0	1
145959	hCG2021403	2136.45	432.1	0.21	4.94	0	1.34	118	43	646.98	1642.59	1317.69	245.27	11828.73	0	1
145980	hCG27577.3	1800.47	160.11	0.1	11.25	0	1.13	34	52	739.08	748.61	1485.22	229.77	11282.4	0	1
145983	hCG23106.3	9241.69	233.58	0.04	39.57	0	6.35	227	128	1553.21	1523	7488.41	164.3	16118.16	0	2
145984	hCG1761132.1	2604.09	215.26	0.09	12.1	0	1.63	74	158	1866.91	1169.97	1731.19	189.93	9692.69	0	1
145987	hCG1784225.3	936.53	492.5	0.53	1.9	0	0.64	131	128	1549.42	503.51	575.15	201.16	12108.77	0	2
145989	hCG1994601	6136.92	292.89	0.06	20.95	64	4.22	217	7	267.02	1423.29	5885.77	173.81	15280.49	0	2
145990	hCG1772006.3	1294.94	230.09	0.18	5.63	0	0.81	58	94	1185.9	1001.93	711.11	208.3	9563.99	0	1
145991	hCG2023615	23011.68	368.75	0.04	62.4	0	14.41	91	18	379.73	1356.65	25737.57	253.46	35631.81	0	1
145997	hCG1812014.1	987.64	340.01	0.35	2.9	0	0.62	14	138	1653.45	532.41	523.71	199.46	8982.12	0	1
145998	hCG1820496.1	65618.45	866.12	0.04	75.76	0	41.09	95	152	1804.62	1392.81	50810.45	268.64	60415.84	0	1
146003	hCG42582.3	12683.56	219.06	0.04	57.9	0	7.94	11	44	653.68	503.98	13791.28	211.87	22179.42	0	1
146009	hCG2023415.2	33798.39	468.66	0.04	72.12	0	23.24	166	102	1273.61	876.12	39249.33	231.94	50249.14	0	2
146011	hCG1643176.1	1130.52	482.57	0.43	2.34	0	0.78	156	108	1338.6	769.61	778.67	174.97	10652.78	0	2
146012	hCG37518.3	51414.31	695.74	0.04	73.9	0	32.2	76	157	1856.37	1191.03	34920.2	233.49	43366.6	0	1
146015	hCG1820834.1	576.9	576.9	2.52	0.4	1	0.4	237	26	470.04	1632.2	36.05	177.49	10125.72	0	2
146019	hCG2039646	12981.95	527.55	0.05	24.61	0	8.93	167	66	892.65	888.39	14510.7	217.79	26192.29	0	2
146036	hCG1786838.2	223.76	223.76	1.99	-0.5	1	0.15	233	149	1775.95	1585.4	-205.17	119.59	6249.54	0	2
146037	hCG1805877.2	532.34	532.34	1.13	0.89	1	0.37	137	27	476.28	570.52	351.53	187.31	11033.48	0	2
146055	hCG23377.3	6939.49	437.27	0.08	15.87	0	4.35	96	22	421.97	1408.77	6037.21	258.62	16974.54	0	1
146058	hCG24148.3	10494.2	10494.2	2.78	0.36	1	7.22	154	147	1752.37	746.97	3521.92	379.05	26049.66	0	2
146065	hCG28251.3	536.84	171.63	0.32	3.13	0	0.37	151	12	317.35	720.74	499.39	171.15	10155.82	0	2
146066	hCG1743460.3	11258.76	191.92	0.04	58.66	0	7.05	51	99	1238.84	927.04	10809.73	235.47	20469.43	0	1
146070	hCG1776264.1	1457.95	1457.95	1.32	0.76	1	0.91	105	148	1763.06	1499.46	1207.08	305.12	14441.31	0	1
146072	hCG1640593.3	333.34	333.34	1.33	-0.75	1	0.23	205	108	1340.04	1291.53	-501.42	175.33	9457.24	0	2
146073	hCG15253.2	6530.37	172.86	0.04	37.78	0	4.49	170	54	762.86	920.8	7184.59	190.96	17601.07	0	2
146076	hCG39196.2	2416.9	249.87	0.11	9.67	0	1.51	111	67	902.93	1567.18	2475.83	306.82	15746.29	0	1
146080	hCG1784151.1	328.2	328.2	1.67	0.6	1	0.23	229	152	1807.29	1543.31	75.35	122.15	6682.45	0	2
146084	hCG1646203.3	848.24	462.17	0.55	1.84	0	0.58	196	77	1010.58	1196.62	605.24	198.44	11966.41	0	2
146098	hCG401310.3	134938.47	1343.28	0.04	100.45	0	84.5	98	91	1156.37	1428.14	97325.45	349.36	109593.72	0	1
146101	hCG39146.2	20819.92	474.47	0.05	43.88	0	13.04	107	78	1019.88	1524.57	26846.52	303.68	39162	0	1
146105	hCG2017435.1	122859.49	1631.2	0.04	75.32	0	84.47	137	122	1486.02	567.56	77669.51	270.89	89149.08	0	2
146110	hCG23437.3	87755.81	1156.56	0.04	75.88	0	54.95	26	65	878.09	662.13	100698.09	428.64	117108.03	0	1
146111	hCG16082.3	10132.79	453.95	0.06	22.32	0	6.35	96	121	1475.55	1405.8	8375.42	250.11	18825.72	0	1
146112	hCG1810913.2	1296.55	344.56	0.27	3.76	0	0.81	71	12	314.39	1143.02	1183.75	247.07	11781.89	0	1
146114	hCG30819.3	5514.22	418.97	0.09	13.16	0	3.45	97	10	295.58	1420.83	4331.8	202.2	12728.83	0	1
146115	hCG1735557.1	3535.53	326.87	0.1	10.82	0	2.21	118	142	1699.92	1637.92	2027.05	233.85	11987.11	0	1
146122	hCG1645996.4	209.16	209.16	1.91	0.52	1	0.14	183	139	1668.33	1056.47	-42.59	149.01	8264.01	0	2
146127	hCG1791597.2	521.14	521.14	3.34	0.3	1	0.36	199	137	1647.61	1226.81	-10.04	146.89	8164.68	0	2
146128	hCG1817845.1	3588.68	252.42	0.08	14.22	0	2.47	211	19	393.47	1359.09	3203.86	163.42	12147.98	0	2
146129	hCG1815375.1	251.48	251.48	6.85	-0.15	1	0.16	74	119	1451.74	1171.48	-139.35	227.61	9623.06	0	1
146130	hCG38254.3	30880.09	444.5	0.04	69.47	0	19.34	93	117	1431.94	1372.99	31575.67	284.54	42783.07	0	1
146131	hCG2041950	1237.6	423.25	0.34	2.92	0	0.85	224	112	1383.37	1492.68	1314.45	164.6	10491.13	0	2
146136	hCG1996673.1	1313.81	456.82	0.35	2.88	0	0.9	157	97	1220.91	780.97	761.79	185.31	11287.79	0	2
146137	hCG29840.2	6425.63	315.5	0.06	20.37	0	4.42	227	113	1394.43	1524.22	7748.91	180.78	17453.24	0	2
146168	hCG2040866	317.33	295.76	0.93	1.07	0	0.2	13	89	1130.36	523.85	8.26	212.28	9075.28	0	1
146180	hCG22001.3	2489.57	351.48	0.14	7.08	0	1.71	236	47	692.55	1620.9	1860.32	173.26	11543.3	0	2
146183	hCG1803610.3	242.86	162.41	0.67	1.5	0	0.15	66	78	1017.76	1088.02	17.8	227.74	9785.47	0	1
146192	hCG1656978.3	764.43	642.42	0.84	1.19	0	0.53	233	78	1022.24	1589.24	591.09	186.24	11188.59	0	2
146196	hCG2041497	365.51	191.78	0.53	1.91	0	0.25	238	149	1776.16	1637.14	129.59	120.57	6630.21	0	2
146200	hCG1646666.3	542.86	542.86	1.55	-0.64	1	0.37	235	26	469.95	1611.64	-471.6	190.21	10417.73	0	2
146218	hCG1645105.3	1985.57	1985.57	2.69	0.37	1	1.37	217	92	1169.53	1420.02	687.63	237.42	14485.35	0	2
146221	hCG1774456.3	1125.31	230.24	0.21	4.89	0	0.7	54	121	1474.62	958.66	859.78	213.99	9964.95	0	1
146224	hCG1646466.1	6231.33	655.61	0.11	9.5	0	4.28	218	93	1180.3	1430.56	4299.19	216.58	16564.68	0	2
146228	hCG14584.3	616.71	125.38	0.21	4.92	64	0.42	126	94	1186.41	450.54	735.13	187.87	11423.24	0	2
146229	hCG39383.3	16349.8	281.84	0.04	58.01	0	10.24	65	126	1527.73	1075.76	20182.85	253.1	30292.67	0	1
146234	hCG1811586.1	1421.99	232.9	0.17	6.11	0	0.89	42	57	793.23	833.38	1299.23	233.96	11295.28	0	1
146237	hCG1787723.1	732.27	732.27	0.68	-1.48	1	0.46	92	79	1029.67	1364.56	-1415.74	315.97	12347.24	0	1
146239	hCG1820525.2	8232.5	147.71	0.05	55.73	0	5.16	28	144	1717.83	681.11	9042.86	236.93	18847.86	0	1
146250	hCG19516.2	507.1	507.1	1.32	-0.76	1	0.35	147	93	1178.18	674.8	-475.16	191.8	10513.04	0	2
146253	hCG1755809.2	6376.64	320.3	0.06	19.91	0	4.38	204	29	499.81	1284.02	7494.31	181.93	17293.84	0	2
146257	hCG1736935.2	480.75	194.68	0.41	2.47	0	0.33	193	48	701.05	1166.85	411.85	172.58	10164.6	0	2
146264	hCG23232.2	6036.13	522.45	0.09	11.55	0	4.15	135	58	805.8	548.94	5514.35	199.87	16628.84	0	2
146270	hCG18694.3	10937.81	342.8	0.05	31.91	0	7.52	235	136	1638.31	1606.36	6423.64	153.54	14430.62	0	2
146273	hCG1816075.1	242.22	242.22	1.7	-0.59	1	0.17	207	97	1222.29	1313.47	-325.39	168.14	9181.79	0	2
146289	hCG19318.3	23398.77	396.26	0.04	59.05	0	16.09	169	96	1210.71	907.74	25759.05	218.71	36735.93	0	2
146296	hCG2041642	400.03	400.03	1.3	0.77	1	0.25	98	44	656.57	1430.46	36.34	248.17	10728.97	0	1
146299	hCG37419.4	2635	328.02	0.13	8.03	0	1.65	61	68	911.03	1035.62	2620.78	264.02	13936.13	0	1
146302	hCG33201.2	81065.07	1110.84	0.04	72.98	0	50.76	38	90	1142.08	789.35	60221.28	307.73	71547.95	0	1
146305	AK022407.1	711.72	295.52	0.42	2.41	0	0.45	77	55	772.97	1206.74	538.72	239.18	10803.6	0	1
146311	hCG1741135.2	246844.25	2330.81	0.04	105.9	0	154.57	4	44	653.4	430.83	237963.6	436.6	250846.77	0	1
146316	hCG2042137	1112.16	314.9	0.29	3.53	0	0.7	7	151	1789.51	459	743.09	200.4	9234.8	0	1
146323	hCG1773686.1	64864.86	747.84	0.04	86.74	0	40.62	86	75	986.88	1300.6	77319.3	334.3	89454.12	0	1
