Probe_ID	Gene_ID	Signal_P/2a-2_OKhymenets_220905	SDEV_P/2a-2_OKhymenets_220905	CV_P/2a-2_OKhymenets_220905	S_N_P/2a-2_OKhymenets_220905	Flags_P/2a-2_OKhymenets_220905	Assay_Normalized_Signal_P/2a-2_OKhymenets_220905	Row_P/2a-2_OKhymenets_220905	Column_P/2a-2_OKhymenets_220905	X_P/2a-2_OKhymenets_220905	Y_P/2a-2_OKhymenets_220905	CL_Sig_P/2a-2_OKhymenets_220905	CL_Sig_Error_P/2a-2_OKhymenets_220905	CL_Raw_P/2a-2_OKhymenets_220905	CL_Raw_SDEV_P/2a-2_OKhymenets_220905	Image_Area_P/2a-2_OKhymenets_220905
139013	hCG2041534	1752.1	185.55	0.12	9.44	0	2.66	35	1	205.45	749.97	988.31	95.75	5513.97	0	1
139014	hCG22801.3	29392.95	510.29	0.05	57.6	0	44.66	109	53	755.51	1537.36	30914.45	165.07	36890.54	0	1
139025	hCG1646381.3	195.11	179.92	0.92	1.08	0	0.3	54	156	1848.86	950.06	272.24	98.14	5037.78	0	1
139029	hCG1647694.2	210.93	210.93	1.91	0.52	1	0.38	146	42	634.46	656.13	143.53	169.97	6435.38	0	2
139036	hCG17370.4	131.52	131.52	5.72	0.17	1	0.2	92	64	873	1355.43	39.79	114.64	5819.5	0	1
139039	hCG16934.3	692.12	292.46	0.43	2.37	0	1.05	8	36	571.2	460.53	703.83	131.48	7413.7	0	1
139042	hCG38950.3	7417.23	164.42	0.06	45.11	0	13.37	217	158	1866.45	1410.14	4716.96	143.93	9683.86	0	2
139049	hCG1818609.1	227.35	227.35	1.01	-0.99	1	0.35	82	107	1325.88	1248.13	-214.74	126.38	6262.2	0	1
139052	hCG38685.2	13741.92	551.58	0.07	24.91	0	24.76	193	74	979.96	1154.24	10952.75	174.05	16849.02	0	2
139053	hCG2005178.1	14020.77	211.31	0.05	66.35	0	21.31	49	104	1294.84	898.67	21758.06	168.15	28886.1	0	1
139054	hCG1812010.1	611.69	257.6	0.42	2.37	0	1.1	131	130	1569.18	493.89	579.22	174.29	7021.32	0	2
139060	hCG39841.2	237.63	237.63	21.41	-0.05	65	0.43	169	33	535.99	900.72	377.93	165.46	6476.74	0	2
139063	hCG1727076.2	1472.52	524.24	0.36	2.81	0	2.65	192	4	236.73	1144.97	1215.9	163.31	7183.87	0	2
139068	hCG2026975	1404.08	317.05	0.23	4.43	0	2.53	138	142	1698.12	570.56	1010.4	159.19	6824.01	0	2
139069	hCG2030226.1	340.2	179.17	0.53	1.9	0	0.61	227	83	1073.33	1517.14	299.94	146.82	5655.4	0	2
139072	hCG1981929	104277.72	1670.25	0.05	62.43	0	158.45	34	107	1331.2	739.2	100542.44	255.42	108280.8	0	1
139073	hCG37881.3	538.59	135.47	0.26	3.98	0	0.97	144	56	783.37	635.1	629.89	164.31	6669.87	0	2
139074	hCG1995686	165.79	165.79	1.08	-0.93	1	0.25	97	59	817.4	1407.85	-96.24	114.57	5683.1	0	1
139075	hCG1811820.1	2219.45	266.67	0.13	8.32	64	4	192	103	1285.47	1145.21	1381.81	164.97	7408.26	0	2
139091	hCG20997.4	7226.26	214.55	0.06	33.68	0	10.98	111	137	1647.61	1559.05	6835.85	124.9	12491.34	0	1
139103	hCG1640891.3	253.07	111.81	0.45	2.26	0	0.46	132	118	1444.29	504.61	257.64	165.3	6356.51	0	2
139107	hCG1820728.2	3002.65	185.21	0.08	16.21	0	5.41	153	41	625.76	730.47	3141.53	169.35	9253.69	0	2
139117	hCG1782708.1	3697.06	257.13	0.08	14.38	0	5.62	54	90	1146.31	951.27	2863.58	134.59	9549.58	0	1
139121	hCG1815436.1	21943.36	641.68	0.06	34.2	0	39.54	129	5	242.73	476.89	18800.04	185.45	24784.51	0	2
139124	hCG1642884.1	276.24	276.24	1.26	-0.79	1	0.5	239	137	1646.87	1641.76	-119.78	143.28	5111.18	0	2
139126	hCG18221.3	467	86.74	0.19	5.38	0	0.84	149	121	1474.29	689.31	582.22	165.21	6660.27	0	2
139128	hCG16836.2	459.11	459.11	227.4	0	1	0.83	207	21	410.69	1303.48	22.48	157.1	5805.58	0	2
139130	hCG24063.3	1526.27	118.66	0.1	12.86	0	2.75	142	84	1084.02	612.73	2234.13	171.36	8474.84	0	2
139135	hCG38558.2	62.02	55.83	0.9	1.11	0	0.11	145	58	805	645.19	96.92	164.16	6158.13	0	2
139136	hCG41497.2	293	293	1.18	-0.85	1	0.53	239	107	1330.29	1644.13	-106.46	147.03	5275.07	0	2
139142	hCG1775917.2	2638.61	169.54	0.09	15.56	0	4.76	185	32	527.53	1070.91	3136.7	158.09	8787.86	0	2
139154	hCG1743026.2	645.29	285.39	0.45	2.26	0	1.16	137	14	338.01	561.42	560.12	145.05	5829.45	0	2
139156	hCG1818297.1	142.39	142.39	1.02	-0.98	1	0.22	24	92	1169.19	633.4	-171.39	113.02	5516.33	0	1
139157	hCG1813119.2	176.01	176.01	0.4	-2.51	1	0.32	141	13	329.4	602.28	-562.95	155.71	5166.01	0	2
139158	hCG28804.3	30792.68	407.32	0.05	75.6	0	46.79	72	21	418.12	1142.42	32374.3	162.73	37992.53	0	1
139162	hCG20399.3	231.03	231.03	0.71	-1.42	1	0.35	59	78	1021.4	1003.07	-359.87	129.47	6300.46	0	1
139167	hCG1820694.1	1096.38	135.9	0.13	8.07	0	1.67	17	110	1359.58	555.22	803.84	109.15	6166.58	0	1
139170	hCG17379.4	1613.93	1613.93	2.86	0.35	1	2.91	151	48	698.2	709.69	763.47	273.44	11150.21	0	2
139172	hCG2036918	382.35	382.35	0.86	-1.16	1	0.69	215	17	369.96	1387.86	-269.84	169.23	5998.93	0	2
139177	hCG38251.3	180.15	180.15	0.81	-1.23	1	0.27	112	76	1001.47	1566.93	-322	139.29	6916.82	0	1
139178	hCG2039831	2006.34	248.08	0.14	8.09	0	3.62	174	32	526.29	954.01	1617.17	155.11	7231.37	0	2
139183	hCG17915.4	16386.22	327.99	0.05	49.96	0	24.9	13	76	998.48	515.16	17380.19	156.03	24059.04	0	1
139184	hCG1656416.1	132.59	132.59	13.4	0.07	1	0.24	127	25	453.91	451.59	-11.4	153.02	5610.57	0	2
139188	hCG32609.3	23657.39	229.58	0.05	103.05	0	35.95	61	17	370.8	1027.93	31630.33	166.4	37640.5	0	1
139190	hCG1820814.1	234.57	234.57	2.17	0.46	1	0.42	223	36	573.86	1476.98	88.54	170.83	6416.68	0	2
139192	hCG1640737.3	717.1	360.88	0.51	1.99	0	1.29	216	1	202.44	1398.4	562.06	140.16	5632.65	0	2
139194	hCG1991804	515.77	62.2	0.13	8.29	0	0.78	13	15	347.72	513.59	420.42	110.86	5930.8	0	1
139199	hCG39939.2	2488.45	455.21	0.19	5.47	0	3.78	19	122	1485.99	576.33	1484.87	119.95	7423.12	0	1
139206	hCG38156.3	25374.33	446.48	0.05	56.83	0	38.56	1	143	1709.59	391.28	29068.35	162.6	35042.62	0	1
139212	hCG22553.2	173.7	164.85	0.95	1.05	0	0.31	170	123	1494.29	909.03	161.49	162.21	6141.61	0	2
139215	hCG1820745.1	13484.67	237.09	0.06	56.87	0	24.3	148	155	1836.4	677.27	13643.27	172.65	19330.34	0	2
139216	hCG2000418.1	5628.17	224.53	0.07	25.07	0	10.14	209	94	1187.9	1324.37	6626.54	174.83	12784.67	0	2
139218	hCG1820455.1	1852.12	336.01	0.19	5.51	0	3.34	237	59	817.34	1620.97	965.32	143.23	6136.22	0	2
139221	hCG39353.3	2164.09	310.32	0.15	6.97	0	3.9	196	121	1476.48	1187.84	1908.3	154.85	7495.89	0	2
139228	hCG22226.3	26375.03	453.78	0.05	58.12	0	40.08	34	93	1181.18	739.44	21400.33	152	27369.18	0	1
139236	hCG1993582	2244.26	163.38	0.09	13.74	0	3.41	114	18	382.56	1590.46	1296.41	115.65	6992.49	0	1
139239	hCG1983206	428.19	147.6	0.35	2.9	0	0.65	21	84	1084.39	602.73	461.04	121.26	6586.94	0	1
139242	hCG23774.4	87744.55	1043.22	0.05	84.11	0	133.33	65	121	1478.2	1068.29	130521.42	283.26	138659.87	0	1
139247	hCG2014768	2865.31	398.99	0.15	7.18	0	5.16	209	91	1155.44	1324.91	2866.64	180.48	9446.87	0	2
139249	hCG1992096	112.64	103.53	0.92	1.09	0	0.17	64	109	1351.68	1058.07	168.46	133.12	7026.89	0	1
139256	hCG2041689	171.9	171.9	1.37	-0.73	1	0.31	122	68	909.78	398.88	-92.05	175.39	6422.64	0	2
139259	hCG38981.2	1620.75	320.86	0.2	5.05	0	2.46	77	24	448.73	1195.83	1170.41	103.05	6117.58	0	1
139262	hCG14882.3	40035.86	384.44	0.05	104.14	0	60.84	22	89	1137.63	612.24	54065.67	207.84	61400.91	0	1
139273	hCG1644121.1	296915.69	3803.21	0.06	78.07	0	535.08	190	1	204.16	1124.21	293128.47	450.68	303670.81	0	2
139276	hCG2042880	285.46	285.46	1.76	0.57	1	0.43	95	116	1422.22	1385.84	-0.88	134.04	6927.6	0	1
139280	hCG1811391.2	195.3	193.57	0.99	1.01	0	0.3	7	53	750.85	449.63	231.19	118.34	6208.9	0	1
