Reporter Identifier	VALUE	S_N_P/2a-3_OKhymenets_220905
104772	20349.48	31.41
104774	3642.23	12.83
104777	510.33	1.46
104778	265.79	0.91
104782	141249.4	64.8
104785	152.29	0.85
104791	5922.36	24.36
10480018	4731.86	25.27
104824	672.9	1.08
104827	226.35	-1.36
104831	273.06	-0.08
104851	277.08	1.59
104861	63918.1	22.41
104862	649.39	0.31
104870	3437.53	16.06
104873	25229.54	28.98
104878	615.68	-0.84
104890	11318.51	29.82
104893	1996.38	2.55
104900	8488.08	10.42
104901	160475.24	113.42
104905	5537	30.08
104921	2929.12	8.27
104923	3400.29	22.31
104925	74994.65	37.19
104926	243.11	-1.79
104931	3280.07	3.87
104932	976.65	4.41
104934	4632.89	21.22
104936	144.7	0.86
104939	2749.6	11.5
104942	1686.91	10.83
104945	5361.29	17.22
104948	2006.99	6.94
104952	422.6	0.78
104955	11450.12	32.68
104959	1210.56	5.54
104977	258.76	1.54
104984	654.55	0.35
104988	39050.6	52.66
104996	439.25	2.33
105004	18017.07	47.23
105010	1671.78	7.94
105011	715.14	3.19
105014	336.56	-0.48
105018	10541.67	14.1
105029	2382.09	-0.81
105030	32471.59	57.55
105040	36696.54	73.21
105052	619.34	0.49
105053	5316.68	13.74
105056	208098.09	75.7
105061	2549.9	5.02
105062	491.82	-1.01
105064	1300.96	4.8
105075	280.04	0.39
105079	5442.85	28.11
105080	4057.51	11.41
105082	19617.51	39.6
105086	248.71	-0.94
105087	6543.37	29.56
105091	358.34	-2.36
105093	671.21	1.63
105095	1652.46	4.83
105105	17323.05	14.13
105110	1386.78	-0.43
105113	1440.1	3.94
105114	359.25	0.82
105117	802.61	4.17
105119	1546.56	2.27
105120	108688.79	108.99
105123	687.53	1.53
105128	308.43	0.3
105130	11700.99	51.88
105150	280.37	0.89
105151	291.57	1.07
105152	486.15	1.86
105155	914628.98	96.19
105160	2060.5	1.82
105163	170.49	0.34
105165	20384.02	7.28
105172	29185.28	40.97
105173	50490.64	83.84
105191	555.1	1.45
105194	68512.04	77.16
105195	447.27	-0.28
105197	441.35	2.5
105207	321.64	2.33
105208	45847.78	52.96
105211	350289.17	76.95
105226	27081.53	53.32
105227	8203.54	26.41
105239	22488.39	70.38
105242	9085.21	25.08
105249	639.25	1.63
105251	2628.65	9.35
105258	1474.36	1.95
105260	5931.51	18.27
105265	3806.59	19.67
105266	3635.24	11.07
10526619	2105.3	8.59
105271	14111.71	65.37
105274	68178.68	95.91
105275	1581.16	3.38
105279	796.81	1.21
105288	1605.41	4.72
105289	81574.63	124.26
105293	1598.39	4.36
10529369	10355.77	43.14
105296	1765.44	6.72
105298	9149.04	55.34
105301	314.51	1.68
